epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,17.4306,0.69525,2.04401,1.23301,0.00333,1,0.02163,0.00435,3.64537,4.23753,4.30544,0.000737966,0.000737966,0.000737966
45,17.7592,0.95189,2.07007,1.28916,0.00333,1,0.02163,0.00435,3.64537,4.23753,4.30544,0.000752224,0.000752224,0.000752224
46,18.1167,1.12999,2.39981,1.33007,0.00333,1,0.00975,0.00195,3.27076,3.30992,3.88233,0.00076635,0.00076635,0.00076635
47,18.4376,0.67639,2.61758,1.10613,0.00333,1,0.00975,0.00195,3.27076,3.30992,3.88233,0.000780344,0.000780344,0.000780344
48,18.767,0.91104,1.76061,1.35215,0.00333,1,0.00975,0.00195,3.27076,3.30992,3.88233,0.000794206,0.000794206,0.000794206
49,19.1044,1.6444,2.0421,1.45384,0.00333,1,0.00975,0.00195,3.27076,3.30992,3.88233,0.000807936,0.000807936,0.000807936
50,19.4794,0.85814,2.22222,0.92224,0.00333,1,0.02314,0.00463,2.95014,3.77083,4.28811,0.000821534,0.000821534,0.000821534
51,19.8451,0.78322,2.50302,1.03407,0.00333,1,0.02314,0.00463,2.95014,3.77083,4.28811,0.000835,0.000835,0.000835
52,20.168,2.06601,2.2486,2.08525,0.00333,1,0.02314,0.00463,2.95014,3.77083,4.28811,0.000848334,0.000848334,0.000848334
53,20.4882,1.23589,2.20781,2.099,0.00333,1,0.02314,0.00463,2.95014,3.77083,4.28811,0.000861536,0.000861536,0.000861536
54,20.8206,1.23544,2.09943,1.49129,0.00333,1,0.02314,0.00463,2.95014,3.77083,4.28811,0.000874606,0.000874606,0.000874606
55,21.203,0.68069,1.7526,1.02992,0.00333,1,0.01809,0.00478,2.85992,3.87506,3.79818,0.000887544,0.000887544,0.000887544
56,21.577,1.13743,2.27239,1.50943,0.00333,1,0.01809,0.00478,2.85992,3.87506,3.79818,0.00090035,0.00090035,0.00090035
57,21.9642,1.3275,2.80887,1.49705,0.00333,1,0.01809,0.00478,2.85992,3.87506,3.79818,0.000913024,0.000913024,0.000913024
58,22.3211,1.58151,1.70585,1.31677,0.00333,1,0.01809,0.00478,2.85992,3.87506,3.79818,0.000925566,0.000925566,0.000925566
59,22.6775,1.98821,3.33987,1.91465,0.00333,1,0.01809,0.00478,2.85992,3.87506,3.79818,0.000937976,0.000937976,0.000937976
60,23.0725,1.72325,2.10824,1.3682,0.00333,1,0.01327,0.00202,3.91879,5.33544,3.61706,0.000950254,0.000950254,0.000950254
61,23.4261,0.9996,2.09085,1.21915,0.00333,1,0.01327,0.00202,3.91879,5.33544,3.61706,0.0009624,0.0009624,0.0009624
62,23.7831,0.66849,1.89282,1.06807,0.00333,1,0.01327,0.00202,3.91879,5.33544,3.61706,0.000974414,0.000974414,0.000974414
63,24.1505,0.39086,1.82173,1.249,0.00333,1,0.01327,0.00202,3.91879,5.33544,3.61706,0.000986296,0.000986296,0.000986296
64,24.4854,1.62323,1.81028,1.34423,0.00333,1,0.01327,0.00202,3.91879,5.33544,3.61706,0.000998046,0.000998046,0.000998046
65,24.8531,1.52919,3.00218,1.51252,0.00333,1,0.02488,0.01492,2.62175,4.40904,3.44251,0.00100966,0.00100966,0.00100966
